ID	adj.P.Val
1557104_at	0.00517
228845_at	0.08009
235282_at	0.08009
1553549_at	0.08009
209797_at	0.08368
243806_at	0.08699
212849_at	0.08699
205357_s_at	0.08699
1553328_a_at	0.08699
223588_at	0.08699
223766_at	0.08699
201436_at	0.08699
1565567_at	0.08699
227321_at	0.08699
1557882_at	0.08699
222315_at	0.08699
242263_at	0.08699
202127_at	0.08699
213789_at	0.08699
205857_at	0.08699
208319_s_at	0.08699
240310_at	0.08699
230741_at	0.08699
233186_s_at	0.08699
1569700_s_at	0.08699
241758_at	0.08699
241721_at	0.08699
233425_at	0.08699
230779_at	0.08699
204293_at	0.08699
208464_at	0.08699
230561_s_at	0.08699
210125_s_at	0.08699
244392_at	0.08699
222549_at	0.08699
212224_at	0.08699
226885_at	0.08699
208775_at	0.08699
228177_at	0.08699
212718_at	0.08699
1557809_a_at	0.08699
202265_at	0.08699
237973_at	0.09059
229312_s_at	0.09059
217574_at	0.09361
215233_at	0.09755
222379_at	0.10606
241845_at	0.10634
228326_at	0.10634
222556_at	0.10634
234033_at	0.10634
237729_at	0.10634
207543_s_at	0.10634
225485_at	0.11
219375_at	0.11467
202452_at	0.11582
223930_at	0.11735
212138_at	0.11735
212176_at	0.11761
241385_at	0.12083
1555567_s_at	0.12083
1556095_at	0.12083
230148_at	0.12083
225644_at	0.12083
229125_at	0.12107
231188_at	0.12623
206752_s_at	0.12765
200699_at	0.12765
213995_at	0.12765
206836_at	0.12765
241998_at	0.12765
235600_at	0.12765
239034_at	0.12765
216086_at	0.12765
225199_at	0.12765
206285_at	0.12765
204457_s_at	0.12765
204802_at	0.12765
200855_at	0.12765
227693_at	0.12765
227369_at	0.12765
229133_s_at	0.12765
229001_at	0.12765
235555_at	0.12765
243396_at	0.12765
AFFX-HUMISGF3A/M97935_MB_at	0.12765
225291_at	0.12765
212493_s_at	0.12765
224873_s_at	0.12765
221822_at	0.12765
1552362_a_at	0.12765
203140_at	0.12765
226775_at	0.12765
232914_s_at	0.12765
219233_s_at	0.12765
218058_at	0.12765
235747_at	0.12765
226151_x_at	0.12765
1570409_x_at	0.12765
243860_at	0.12772
200895_s_at	0.12772
1570246_at	0.12772
204608_at	0.12772
235456_at	0.12772
213858_at	0.12772
200811_at	0.12772
209025_s_at	0.12772
213581_at	0.12772
209015_s_at	0.12772
232549_at	0.12772
215647_at	0.12772
224846_at	0.12798
243992_at	0.13187
1569969_a_at	0.13187
221458_at	0.13187
218229_s_at	0.13187
224995_at	0.13187
207091_at	0.13187
210389_x_at	0.13187
226880_at	0.13187
220065_at	0.13187
237266_at	0.13187
214604_at	0.13187
228095_at	0.13187
203369_x_at	0.13187
200810_s_at	0.13187
222698_s_at	0.13187
226884_at	0.13187
232856_at	0.13187
238456_at	0.1322
235580_at	0.1322
213351_s_at	0.1322
225186_at	0.1322
235591_at	0.13281
224375_at	0.13296
217152_at	0.13354
228454_at	0.13673
234192_s_at	0.13725
225655_at	0.13725
213014_at	0.13725
219895_at	0.13725
1560371_at	0.13725
210110_x_at	0.13752
219767_s_at	0.13784
227553_at	0.1423
226317_at	0.1423
203282_at	0.1423
202548_s_at	0.1423
219517_at	0.1423
203252_at	0.1423
242216_at	0.1423
235112_at	0.1423
1554012_at	0.1447
219073_s_at	0.14472
1567237_at	0.14472
216594_x_at	0.14472
1570103_at	0.14472
244450_at	0.14677
223456_s_at	0.14677
207982_at	0.14677
1556096_s_at	0.14677
1556364_at	0.14677
209054_s_at	0.14677
239382_at	0.14677
1557217_a_at	0.14677
207639_at	0.14677
206935_at	0.14677
204178_s_at	0.14677
227239_at	0.14677
1560259_at	0.14677
1556103_at	0.14677
224664_at	0.14677
222458_s_at	0.14677
1556567_at	0.15013
242819_at	0.15084
213136_at	0.15084
212469_at	0.15084
218792_s_at	0.15084
205178_s_at	0.15084
217171_at	0.15084
232091_s_at	0.15084
220588_at	0.15084
1557945_at	0.15084
202423_at	0.15084
232268_at	0.15084
228785_at	0.15084
231237_x_at	0.15084
1570267_at	0.15084
222184_at	0.15084
234471_s_at	0.15084
240801_at	0.15084
229268_at	0.15084
208291_s_at	0.15084
227010_at	0.15084
1563454_at	0.15084
213213_at	0.15084
202182_at	0.15084
216705_s_at	0.15084
232815_at	0.15084
228393_s_at	0.15084
219718_at	0.15164
1569685_at	0.15234
219638_at	0.15234
239913_at	0.15328
227243_s_at	0.15328
230132_at	0.15328
218875_s_at	0.15328
215645_at	0.15349
238360_s_at	0.15349
227816_at	0.15365
220104_at	0.1538
227044_at	0.1538
227543_at	0.1538
1556776_a_at	0.1538
234758_at	0.1545
203114_at	0.15568
203117_s_at	0.15568
227264_at	0.15568
222791_at	0.15568
219062_s_at	0.15568
203956_at	0.15568
1553292_s_at	0.15568
227473_at	0.15568
218448_at	0.15568
222619_at	0.15568
213385_at	0.1573
214104_at	0.1573
223283_s_at	0.1573
235556_at	0.15851
230444_at	0.15871
242530_at	0.16005
205311_at	0.16024
240207_at	0.16024
219966_x_at	0.16024
212358_at	0.16024
240469_at	0.16024
203476_at	0.16024
225181_at	0.16024
200685_at	0.16024
230815_at	0.16024
238914_at	0.16024
214876_s_at	0.16024
233122_at	0.16024
218614_at	0.16035
205788_s_at	0.16035
209422_at	0.16035
1559132_at	0.16039
226481_at	0.16039
240425_x_at	0.16116
225217_s_at	0.16273
212660_at	0.16557
225911_at	0.16557
222057_at	0.16557
242731_x_at	0.16557
207486_x_at	0.16557
227909_at	0.16557
206590_x_at	0.16557
222481_at	0.16557
210694_s_at	0.16557
218673_s_at	0.16557
228967_at	0.16557
213878_at	0.16786
1563753_at	0.16786
229585_at	0.16786
235864_at	0.16786
213435_at	0.16786
228157_at	0.16786
202973_x_at	0.16885
213792_s_at	0.16947
226255_at	0.16947
209196_at	0.17063
238454_at	0.17063
235612_at	0.17063
230526_at	0.17063
228707_at	0.17063
228843_at	0.17063
1563541_at	0.17063
224973_at	0.17063
238468_at	0.17112
228830_s_at	0.17171
227853_at	0.17303
238332_at	0.17486
235491_at	0.17486
1552390_a_at	0.17486
231895_at	0.17486
201363_s_at	0.17486
213000_at	0.17486
215743_at	0.17521
226808_at	0.17528
210587_at	0.17528
220349_s_at	0.17528
233947_s_at	0.17544
228455_at	0.17737
216938_x_at	0.17752
227505_at	0.17752
226639_at	0.17817
209497_s_at	0.17817
242705_x_at	0.17817
219075_at	0.17817
202581_at	0.17817
220618_s_at	0.17822
1567255_at	0.17875
202019_s_at	0.17875
243512_x_at	0.17875
1557137_at	0.17875
219414_at	0.17927
228928_x_at	0.18041
1563595_at	0.18041
205923_at	0.18041
208016_s_at	0.18041
1558770_a_at	0.18041
203042_at	0.18041
240122_at	0.18041
224417_at	0.18041
202927_at	0.18041
218951_s_at	0.18041
227383_at	0.18041
1566897_at	0.18137
228092_at	0.18137
226945_at	0.18137
212652_s_at	0.18137
235147_at	0.18137
218953_s_at	0.18137
209911_x_at	0.18147
241242_at	0.18147
237112_at	0.18147
224864_at	0.18147
221015_s_at	0.18147
243967_at	0.18147
235513_at	0.18194
208436_s_at	0.18194
238091_at	0.18194
236474_at	0.18259
222910_s_at	0.18259
209879_at	0.18259
226015_at	0.18284
238264_at	0.1832
225243_s_at	0.1832
218549_s_at	0.1832
218565_at	0.1832
234991_at	0.1832
223544_at	0.1832
225188_at	0.1832
214005_at	0.1832
1556248_at	0.1832
239072_at	0.1832
204093_at	0.1832
238591_at	0.1841
224765_at	0.1841
230689_at	0.18466
210454_s_at	0.18505
214677_x_at	0.18539
229733_s_at	0.18539
207095_at	0.18539
234974_at	0.18539
218375_at	0.18539
1556715_at	0.18539
225348_at	0.18539
1569369_at	0.18539
233595_at	0.18539
206972_s_at	0.18539
1560724_at	0.18607
225330_at	0.18607
229232_at	0.18607
210189_at	0.18607
207932_at	0.18607
1552388_at	0.1866
213601_at	0.1866
225486_at	0.1866
233242_at	0.18798
220661_s_at	0.18798
1559821_at	0.18798
1555997_s_at	0.18798
236733_at	0.18798
243448_at	0.18798
228829_at	0.18798
213123_at	0.18798
206080_at	0.18798
1559746_a_at	0.18798
211630_s_at	0.18798
244177_at	0.18798
235866_at	0.18798
233284_at	0.18798
224599_at	0.18798
200800_s_at	0.18798
1555845_at	0.18798
1555846_a_at	0.18848
224722_at	0.18848
1554133_at	0.18848
225239_at	0.18848
231157_at	0.18848
218806_s_at	0.18848
205329_s_at	0.18848
230337_at	0.18848
208732_at	0.18978
209240_at	0.18978
207822_at	0.18978
225370_at	0.18978
1565759_at	0.18978
1570578_at	0.18978
1569290_s_at	0.18978
218354_at	0.18978
242807_at	0.18978
228649_at	0.18978
1568915_at	0.18978
226450_at	0.18978
225189_s_at	0.18978
231156_at	0.18978
205767_at	0.18978
211353_at	0.18978
218055_s_at	0.18978
213164_at	0.18978
234573_at	0.18978
1552430_at	0.19104
218566_s_at	0.19104
225927_at	0.19129
205296_at	0.19134
228763_at	0.19134
232280_at	0.19134
242536_at	0.19134
203078_at	0.19134
228882_at	0.19134
236431_at	0.19134
1558346_at	0.19134
238530_at	0.19158
238437_at	0.19185
243310_at	0.19294
205174_s_at	0.19327
210442_at	0.19327
1563572_at	0.19327
238833_at	0.19327
221595_at	0.19327
225446_at	0.19327
208415_x_at	0.19445
211231_x_at	0.19445
223231_at	0.19457
239731_at	0.19493
209560_s_at	0.19522
226847_at	0.19522
210270_at	0.19626
1553971_a_at	0.19626
224378_x_at	0.19626
209296_at	0.19626
1552508_at	0.19626
227062_at	0.19626
208943_s_at	0.19626
207677_s_at	0.19632
206279_at	0.19678
227115_at	0.19759
221020_s_at	0.19782
210682_at	0.19782
221897_at	0.19782
222530_s_at	0.19782
209573_s_at	0.19782
1561439_at	0.19782
1560318_at	0.19782
223241_at	0.19782
224760_at	0.19782
241698_at	0.19782
230962_at	0.19782
219494_at	0.19782
214682_at	0.19782
208725_at	0.19782
229145_at	0.19782
229657_at	0.19782
222982_x_at	0.19782
242828_at	0.19782
220559_at	0.19782
37278_at	0.19853
225542_at	0.19853
230012_at	0.19853
1557620_a_at	0.19982
234998_at	0.20075
219475_at	0.20131
227993_at	0.20238
243721_at	0.20238
204639_at	0.20238
235822_at	0.20315
214129_at	0.20315
227785_at	0.20315
232219_x_at	0.20315
225197_at	0.20315
235966_at	0.20315
212833_at	0.20315
213145_at	0.20465
226789_at	0.20496
234915_s_at	0.20496
244613_at	0.20496
223188_at	0.20496
1555427_s_at	0.20496
1561604_at	0.20496
221872_at	0.20496
205399_at	0.20629
232692_at	0.2081
230821_at	0.2081
1553929_at	0.2081
216940_x_at	0.2081
222502_s_at	0.2081
243020_at	0.2081
216880_at	0.2081
213658_at	0.2081
213758_at	0.2081
1559792_at	0.2081
241806_at	0.2081
206992_s_at	0.2081
243610_at	0.2081
235469_at	0.2081
226355_at	0.2081
1554609_at	0.2081
209530_at	0.2081
244653_at	0.2081
234227_at	0.2081
203527_s_at	0.2081
212148_at	0.2081
221033_s_at	0.2081
209505_at	0.2081
204423_at	0.2081
1558874_a_at	0.2081
228234_at	0.2081
221509_at	0.2081
238880_at	0.2081
242331_x_at	0.2081
1552452_at	0.2081
227758_at	0.2081
227242_s_at	0.2081
240216_at	0.2081
237368_at	0.2081
213672_at	0.2081
207859_s_at	0.2081
1561699_a_at	0.2081
201440_at	0.2081
225820_at	0.2081
242611_at	0.2081
217122_s_at	0.2081
237232_at	0.2081
204539_s_at	0.2081
240931_s_at	0.2081
244369_at	0.2081
234869_at	0.2081
204467_s_at	0.2081
219378_at	0.2081
203020_at	0.2081
222611_s_at	0.2081
230566_at	0.2081
227219_x_at	0.2081
238549_at	0.2081
210804_x_at	0.2081
225527_at	0.2081
201491_at	0.2081
208742_s_at	0.2081
1561297_at	0.2081
222807_at	0.2081
1553313_s_at	0.2081
206245_s_at	0.2081
202326_at	0.2081
235787_at	0.2081
225788_at	0.2081
1552507_at	0.2081
241827_at	0.20871
200730_s_at	0.20871
1559578_at	0.20918
1568868_at	0.20964
236081_at	0.21045
1553962_s_at	0.21045
238239_at	0.21045
209796_s_at	0.21073
1553954_at	0.21073
223598_at	0.21073
1560800_at	0.21073
213195_at	0.21073
208481_at	0.21073
222077_s_at	0.21073
1558256_at	0.21073
209121_x_at	0.21073
239190_at	0.21073
221123_x_at	0.21073
217877_s_at	0.21073
1564131_a_at	0.21073
200622_x_at	0.21073
236883_at	0.21073
1560957_at	0.21073
219583_s_at	0.21073
1559528_at	0.21073
231837_at	0.21073
232411_at	0.21073
243150_at	0.21073
218708_at	0.21073
204997_at	0.21073
210637_at	0.21074
1552845_at	0.21074
239343_at	0.21074
202328_s_at	0.21074
218251_at	0.21074
228638_at	0.21107
210069_at	0.21159
202671_s_at	0.21159
1558795_at	0.2127
225757_s_at	0.2127
213617_s_at	0.21313
225496_s_at	0.21313
222938_x_at	0.21313
229480_at	0.21365
201774_s_at	0.21365
213330_s_at	0.2139
204761_at	0.21395
1555716_a_at	0.21395
231811_at	0.21395
226154_at	0.21395
206197_at	0.21395
213226_at	0.21395
213602_s_at	0.21395
1553274_a_at	0.21395
225617_at	0.21395
221927_s_at	0.21395
230475_at	0.21395
229682_at	0.21395
229428_at	0.21395
243399_at	0.21439
225318_at	0.21499
206326_at	0.21499
1557948_at	0.21499
237522_at	0.21499
1568852_x_at	0.21499
225535_s_at	0.21499
222230_s_at	0.21499
1552998_at	0.21499
208552_at	0.21499
1562505_at	0.21499
32099_at	0.21499
1557141_at	0.21499
242466_at	0.21499
222607_s_at	0.21499
224985_at	0.21499
227633_at	0.21499
208984_x_at	0.21578
